unit,group_name_partner,date_and_time,borough,locationtype,location,event_name,event_type,category,attendance,audience,source,classification
Recreation,,2019-08-26T19:45:00.000,Brooklyn,Park,Cooper Park,Tomb Raider (2018),Community Based Event,Mobile Unit,63.0,General Public,Sharepoint,M.U.T.S
Recreation,Council Member Daneek Miller,2019-08-17T12:00:00.000,Queens,Park,Wayanda Park,6th Annual Family Fun Day & Motown Revue,Community Based Event,Family Festival,100.0,General Public,Sharepoint,Play
Recreation,Queensboro Dance Festival,2019-08-24T14:00:00.000,Queens,Park,Windmuller Park,Queensboro Dance Festival at Windmuller Park,Local Event,Arts/Culture,120.0,General Public,Sharepoint,AC&F
Recreation,,2018-05-25T20:00:00.000,Brooklyn,Park,Prospect Park,Movies Under the Stars : Festival Friday The Seventh Seal,Community Based Event,Mobile Unit,250.0,General Public,Sharepoint,Movies
Recreation,,2019-08-15T20:30:00.000,Bronx,Park,Tremont Park,Incredibles 2,Community Based Event,Mobile Unit,65.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-05-25T20:00:00.000,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,Movies
Recreation,,2019-08-17T20:30:00.000,Bronx,Park,Ferry Point Park,I Could Only Imagine,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-01T20:00:00.000,Brooklyn,Park,Leif Ericson Park,Movies Under the Stars : Lego Ninjago Movie,Community Based Event,Mobile Unit,250.0,General Public,Sharepoint,Movies
Recreation,Borough President Katz,2019-08-25T17:00:00.000,Queens,Park,ODonahue Park -Rockaway beach,Katz Concert Series,Agency Produced Event,Performance,200.0,General Public;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,Music
Recreation,,2019-08-27T19:45:00.000,Brooklyn,Park,Commodore Barry Park,Uncle Drew (2018),Community Based Event,Mobile Unit,42.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-01T20:00:00.000,Staten Island,Park,Seaside Wildlife Nature Park,Star Wars: Ep. Iv A New Hope (1977),Community Based Event,Mobile Unit,65.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-03T20:00:00.000,Staten Island,Park,Clove Lakes Park,Bohemian Rhapsody (2019),Community Based Event,Mobile Unit,80.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-15T20:00:00.000,Staten Island,Park,Father Macris Park,Star Wars: Ep. VI Return of the Jedi (1983),Community Based Event,Mobile Unit,25.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-02T20:30:00.000,Staten Island,Park,Willowbrook Park,Ant Man (2015),Community Based Event,Mobile Unit,60.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-06T20:30:00.000,Staten Island,Park,Westerleigh Park,Hotel Translyvania 3: Summer Vacation,Community Based Event,Mobile Unit,80.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-09T20:00:00.000,Staten Island,Park,CPL. Thompson Park,Pokemon Detective Pikachu (2019),Community Based Event,Mobile Unit,55.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-10T20:00:00.000,Staten Island,Park,Midland Field,The Goonies (1985),Community Based Event,Mobile Unit,70.0,General Public,Sharepoint,M.U.T.S
Recreation,Ocean Breeze Recreation Staff,2020-09-19T08:30:00.000,Staten Island,Park,Ocean Breeze Park,Open Patio Area,Open House,Family Festival,12.0,Children;#Young Adult;#General Public,Sharepoint,Summer 2020
Public Programs,,2019-08-17T20:00:00.000,Staten Island,Park,Cedar Grove Park,Whatever Happened to Baby Jane (1962),Community Based Event,Mobile Unit,10.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-20T20:00:00.000,Staten Island,Park,Willowbrook Park,Black Panther (2018),Community Based Event,Mobile Unit,45.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2020-07-19T10:00:00.000,Staten Island,Park,Ocean Breeze Park,Ocean Breeze Beach Soccer & Food Truck Festival,Community Based Event,Sport,0.0,Young Adult;#Children;#Adults;#Teens;#Adaptive;#General Public,Sharepoint,
Public Programs,,2019-08-16T20:00:00.000,Staten Island,Park,Clove Lakes Park,Thor: Ragnarok (2019),Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2020-05-16T10:00:00.000,Staten Island,Park,Ocean Breeze Park,,Community Based Event,Academic/Out of School time,0.0,Children;#Young Adult;#Teens;#Adaptive;#General Public,Sharepoint,
Public Programs,,2019-08-23T20:00:00.000,Staten Island,Park,Midland Field,Avengers: Infinity War (2018),Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-24T20:00:00.000,Staten Island,Park,Lemon Creek Park,Spiderman: Into the Spider-Verse (2019),Community Based Event,Mobile Unit,25.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-03T20:00:00.000,Brooklyn,Park,Manhattan Beach Parking Lot,Drive In Movie,Community Based Event,Mobile Unit,195.0,General Public,Sharepoint,Movies
Recreation,"CM Vallone, Friends of Francis Lewis Park, We Love Whitestone",2019-08-23T20:00:00.000,Queens,Park,Francis Lewis Park,Avengers: Endgame,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-27T20:00:00.000,Staten Island,Park,Von Briesen Park,Ant Man vs. Wasp (2019),Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,M.U.T.S
Recreation,Forest Park and Highland Park Administrator,2019-08-26T20:00:00.000,Queens,Park,Highland Park,Bohemian Rhapsody,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-25T20:00:00.000,Queens,Park,Wayanda Park,Avengers: Endgame,Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,M.U.T.S
Public Programs,Bike New York,2019-08-24T11:00:00.000,Queens,Playground,Addabbo Playground,Learn to Ride,Community Based Event,Sport,65.0,Children,Sharepoint,Play
Recreation,,2019-08-29T19:45:00.000,Brooklyn,Park,Herbert Von King Park,Spider-Man: Into the Spider Verse (2018),Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,ABOFF,2018-06-03T20:00:00.000,Brooklyn,Park,Sunset Park,Movies Under the Stars : ABOFF Short Films,Community Based Event,Mobile Unit,60.0,General Public,Sharepoint,Movies
Recreation,FMCP Administrator,2019-08-21T20:00:00.000,Queens,Park,Flushing Meadows Corona Park,Spider-Man: Into the Spiderverse,Community Based Event,Mobile Unit,35.0,General Public,Sharepoint,M.U.T.S
Recreation,NYC Parks,2019-08-10T00:00:00.000,Queens,Park,Brookville Park,Back to School Event,Community Based Event,Family Festival,300.0,Children;#Adults;#Young Adult;#Teens;#Adaptive;#Seniors;#General Public,Sharepoint,Play
Recreation,Summer Sports Experience,2019-08-24T10:00:00.000,Queens,Park,Kissena Park,Flag Football Clinics,Community Based Event,Sport,64.0,Teens;#Children,Sharepoint,Tier 1
Recreation,,2019-08-15T11:00:00.000,Manhattan,Park,J. Hood Wright Park,Summer Camp Finale,Agency Produced Event,Family Festival,600.0,Children;#Teens,Sharepoint,
Recreation,Strictly Tango NYC,2019-08-13T18:00:00.000,Manhattan,Park,Washington Square Park,Tango in the Park,Agency Produced Event,Arts/Culture,150.0,General Public,Sharepoint,Dance
Recreation,,2019-08-16T19:00:00.000,Manhattan,Park,East River Park,Movies Under the Stars: Captain Marvel,Community Based Event,Mobile Unit,382.0,General Public,Sharepoint,M.U.T.S
Recreation,Strictly Tango NYC,2019-08-20T18:00:00.000,Manhattan,Park,Washington Square Park,Tango in the Park,Agency Produced Event,Arts/Culture,150.0,General Public,Sharepoint,Dance
Recreation,,2019-08-22T18:00:00.000,Manhattan,Park,Marcus Garvey Park,Soul Train Celebration and Tribute to Aretha Franklyn,Community Based Event,Performance,3450.0,General Public,Sharepoint,Music
Recreation,Image Nation,2019-08-23T19:00:00.000,Manhattan,Park,St. Nicholas Park,Movies Under the Stars: Decades of Fire,Community Based Event,Mobile Unit,112.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-05-04T19:00:00.000,Staten Island,Park,Father Macris Park,Movies Under the Stars: Angels In the Outfield,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,Movies
Recreation,Strictly Tango NYC,2019-08-27T18:00:00.000,Manhattan,Park,Washington Square Park,Tango in the Park,Agency Produced Event,Arts/Culture,180.0,General Public,Sharepoint,Dance
Recreation,Councilman BRANNAN,2019-08-30T19:45:00.000,Brooklyn,Park,McKinley Park,Wonder Woman (2017),Community Based Event,Mobile Unit,146.0,General Public,Sharepoint,M.U.T.S
Recreation,Council Member Kallos,2019-08-24T19:00:00.000,Manhattan,Park,John Jay Park,Movies Under the Stars: Captain Marvel,Community Based Event,Mobile Unit,285.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-08T20:00:00.000,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Bruce!!,Community Based Event,Mobile Unit,120.0,General Public,Sharepoint,Movies
Urban Park Rangers,NYC Wildflower Week; Office of Congresswoman Alexandria Ocasio Cortez,2019-08-31T11:00:00.000,Bronx,Park,Pelham Bay Park,Pelham Bay Nature Day,Community Based Event,Family Festival,200.0,General Public,Sharepoint,
Urban Park Rangers,Staten Island Zoo,2019-08-17T00:00:00.000,Staten Island,Park,Blue Heron Park,Staten Island Bio Blitz,Agency Produced Event,Nature,26.0,General Public,Sharepoint,
Urban Park Rangers,Staten Island Zoo,2019-08-16T17:00:00.000,Staten Island,Park,Blue Heron Park,Staten Island Bio Blitz,Agency Produced Event,Nature,26.0,General Public,Sharepoint,
Recreation,,2019-08-25T00:00:00.000,Brooklyn,Park,Cadman Plaza Park,Moana(2016),Community Based Event,Mobile Unit,304.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-30T00:00:00.000,Brooklyn,Park,Msgr. McGolrick Park,Detective Pikachu(2019),Community Based Event,Mobile Unit,312.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-29T00:00:00.000,Brooklyn,Park,Carroll Park,Sisterhood of the Travelling Pants(2005),Community Based Event,Mobile Unit,76.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-27T00:00:00.000,Brooklyn,Park,McCarren Park,Skate Kitchen(2018),Community Based Event,Mobile Unit,237.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-03T19:30:00.000,Brooklyn,Park,Maria Hernandez Park,Spider-Man: Into the Spider Verse (2018),Community Based Event,Mobile Unit,154.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-30T19:00:00.000,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars: Honey,Community Based Event,Mobile Unit,95.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-31T19:45:00.000,Queens,Park,Roy Wilkins Park,Uncle Drew,Community Based Event,Mobile Unit,25.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-09T20:00:00.000,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Ferris Bueller's Day Off,Community Based Event,Mobile Unit,240.0,General Public,Sharepoint,Movies
Recreation,Council Member Rivera,2019-08-30T19:00:00.000,Manhattan,Park,Bellevue South Park,Movies Under the Stars: Avengers: Endgame,Community Based Event,Mobile Unit,289.0,General Public,Sharepoint,M.U.T.S
Recreation,Council Member Daneek Miller,2019-08-31T12:00:00.000,Queens,Park,St. Albans Park,Summer Festival at St. Albans Park,Community Based Event,Family Festival,175.0,General Public,Sharepoint,Play
Recreation,,2019-09-07T19:45:00.000,Brooklyn,Park,Cooper Park,Incredibles 2 (2018),Community Based Event,Mobile Unit,130.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,NYPD,2019-08-06T15:00:00.000,Manhattan,Park,Highbridge Park,National Night Out Against Crime,Community Based Event,Family Festival,180.0,General Public,Sharepoint,
Recreation,,2019-08-23T20:30:00.000,Bronx,Park,Tremont Park,Incredibles 2,Community Based Event,Mobile Unit,90.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-05T19:45:00.000,Brooklyn,Park,Bushwick Inlet Park,Rushmore (1998),Community Based Event,Mobile Unit,146.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-24T20:30:00.000,Bronx,Park,Melrose Commons Park,Coco,Community Based Event,Mobile Unit,85.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-16T20:00:00.000,Brooklyn,Park,Amersfort Park,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,300.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-08T00:00:00.000,Manhattan,Park,Randall's Island Park,Creed 2 (2018),Community Based Event,Mobile Unit,126.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-27T20:30:00.000,Bronx,Park,Bill Rainey,Spider-Man: Into the Spider-Verse,Community Based Event,Mobile Unit,45.0,Children;#Young Adult;#Adults;#Teens;#Adaptive;#General Public;#Seniors,Sharepoint,M.U.T.S
Recreation,,2019-08-30T20:30:00.000,Bronx,Park,Concrete Plant Park,Incredibles 2,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-16T20:00:00.000,Brooklyn,Park,Red Hook Park,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,100.0,General Public,Sharepoint,Movies
Recreation,,2018-06-22T21:00:00.000,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Art of the Score,Community Based Event,Mobile Unit,700.0,General Public,Sharepoint,Movies
Recreation,Project FIND Aid for the Aged,2019-08-31T12:00:00.000,Manhattan,Park,Hell's Kitchen Park,Harborview Family Day,Community Based Event,Mobile Unit,63.0,General Public,Sharepoint,Play
Recreation,CM Menchaca,2018-06-15T20:00:00.000,Brooklyn,Park,Sunset Park,Movies Under the Stars : Guardians of the Galaxy 2,Community Based Event,Mobile Unit,650.0,General Public,Sharepoint,Movies
Recreation,Summer sports experience,2019-09-07T10:00:00.000,Queens,Park,Kissena Park,Flag Football Clinic SSE,Community Based Event,Sport,106.0,Teens;#Children,Sharepoint,Tier 1
Recreation,NYC Parks and Recreation,2019-09-07T08:00:00.000,Queens,Park,Juniper Valley Park,Queens Bocce tournament,Tournament/Competition,Sport,80.0,Adults;#Seniors;#General Public,Sharepoint,Tier 3
Recreation,NYC Parks and Recreation,2019-08-24T10:00:00.000,Manhattan,Park,Thomas Jefferson Park,Track & Field Meet,Tournament/Competition,Sport,130.0,Children;#Teens;#Seniors,Sharepoint,Tier 2
Recreation,,2019-09-13T19:15:00.000,Brooklyn,Park,Saratoga Park,The Sun is Also a Star (2019),Community Based Event,Mobile Unit,40.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,Westerleigh Coalition,2019-09-14T11:30:00.000,Staten Island,Park,Westerleigh Park,Westerleigh Folk Festival,Community Based Event,Family Festival,125.0,General Public,Sharepoint,
Recreation,,2019-09-08T19:30:00.000,Brooklyn,Park,Carroll Park,Won't You be My Neighbor (2018),Community Based Event,Mobile Unit,46.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,Freshkills Alliance,2019-09-15T11:00:00.000,Staten Island,Park,Freshkills Park,Discovery Day,Agency Produced Event,Nature,400.0,General Public,Sharepoint,
Recreation,,2018-05-11T20:00:00.000,Staten Island,Park,Cedar Grove Park,Movies Under the Stars: Sing,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,Movies
Recreation,,2018-06-22T21:00:00.000,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Wonder Woman,Community Based Event,Mobile Unit,300.0,General Public,Sharepoint,Movies
Recreation,,2019-09-14T19:15:00.000,Brooklyn,Park,Maria Hernandez Park,Pelo Malo: Bad Hair (2013),Community Based Event,Mobile Unit,169.0,General Public,Sharepoint,M.U.T.S
Recreation,,2020-09-09T10:00:00.000,Bronx,Park,St. Mary's Park,skills & drills,Community Based Event,Sport,1.0,Children,Sharepoint,Summer 2020
Recreation,Council Member Daneek Miller,2019-09-14T12:00:00.000,Queens,Park,Detective Keith L Williams Park,Family Festival at Detective Keith Williams Park,Community Based Event,Family Festival,250.0,General Public,Sharepoint,Play
Recreation,,2019-09-04T19:00:00.000,Manhattan,Park,Frederick Johnson Park,MUTS: Ralph Breaks the Internet,Community Based Event,Mobile Unit,56.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-03T19:00:00.000,Manhattan,Park,Sara D. Roosevelt Park,MUTS: Teen Titans Go! To the Movies,Community Based Event,Mobile Unit,125.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-10T19:00:00.000,Manhattan,Park,Harlem Art Park,MUTS: Wonder Park,Community Based Event,Mobile Unit,85.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-23T20:00:00.000,Brooklyn,Park,Dyker Beach Park,Movies Under the Stars : Nut Job 2,Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,Movies
Recreation,,2019-09-07T19:00:00.000,Manhattan,Park,St. Vartan Park,MUTS: How to Train Your Dragon: The Hidden World,Community Based Event,Mobile Unit,202.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-29T20:00:00.000,Staten Island,Park,Wolfe's Pond Park,Star Wars: Episode II Attack of the Clones,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-09-07T19:30:00.000,Staten Island,Park,Detective Russel Timoshenko Soccer Field,Avengers: End Game (2019),Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-31T20:00:00.000,Staten Island,Park,Detective Russel Timoshenko Soccer Field,Star Wars: Episode III Revenge of the Sith,Community Based Event,Mobile Unit,45.0,General Public,Sharepoint,M.U.T.S
Public Programs,,2019-08-30T20:00:00.000,Staten Island,Park,CPL. Thompson Park,Creed II (2019),Community Based Event,Mobile Unit,15.0,General Public,Sharepoint,M.U.T.S
Public Programs,Staten Island Arts,2019-09-14T19:30:00.000,Staten Island,Park,Tappen Park,The Muppet Movie (1979),Community Based Event,Mobile Unit,120.0,General Public,Sharepoint,M.U.T.S
Public Programs,CM Joseph Borelli,2019-09-13T19:30:00.000,Staten Island,Park,Wolfe's Pond Park,Dumbo (2019),Community Based Event,Mobile Unit,150.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-29T00:00:00.000,Brooklyn,Park,McCarren Park,Movies Under the Stars : Smiles on a Summer Night,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,Movies
Recreation,,2019-08-03T19:00:00.000,Manhattan,Park,Annunciation Park,MUTS: Crazy Rich Asians,Community Based Event,Mobile Unit,289.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-08-02T19:00:00.000,Manhattan,Park,Morningside Park,MUTS: Second Act,Community Based Event,Mobile Unit,280.0,General Public,Sharepoint,M.U.T.S
Recreation,NYC Parks,2019-09-11T09:00:00.000,Manhattan,Park,W. 146th Street Bradhurst Ave. Jackie Robinson Park,Activities for the Kids,Agency Produced Event,Mobile Unit,8.0,Children,Sharepoint,Play
Recreation,Play Mobile/Miriam Garay,2019-09-13T10:00:00.000,Brooklyn,Park,Wingate Park,Book Reading Series,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,Play
Recreation,,2019-09-15T00:00:00.000,Brooklyn,Park,Linden Park,Teen Titans Go! To the Movies(2018),Community Based Event,Mobile Unit,35.0,General Public,Sharepoint,M.U.T.S
Recreation,,2021-08-10T10:00:00.000,Queens,Park,Alley Pond Park,Mobile Unit Pop-Up,Community Based Event,Mobile Unit,0.0,General Public,Sharepoint,Play
Recreation,,2019-09-13T00:00:00.000,Brooklyn,Park,Herbert Von King Park,Fast Color(2019),Community Based Event,Mobile Unit,76.0,General Public,Sharepoint,M.U.T.S
Recreation,Play Mobile/Miriam Garay,2019-09-15T13:00:00.000,Brooklyn,Park,Brower Park,One Crown Heights Festival,Community Based Event,Mobile Unit,300.0,General Public,Sharepoint,Play
Recreation,7th precinct Community Affairs and New Life of NYC,2019-09-19T16:00:00.000,Manhattan,Park,John V. Lindsay East River Park,Cops and Kids Softball Game,Tournament/Competition,Sport,26.0,Teens;#Young Adult;#Adults,Sharepoint,Tier 2
Recreation,,2019-09-19T19:00:00.000,Brooklyn,Park,McCarren Park,Friday Night Lights (2004),Community Based Event,Mobile Unit,9.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-07T00:00:00.000,Brooklyn,Park,Bensonhurst Park,Secret Life of Pets 2(2019),Community Based Event,Mobile Unit,394.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-19T14:30:00.000,Bronx,Park,Pelham Bay Park,Community Engagement,Agency Produced Event,Mobile Unit,30.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2018-06-24T20:00:00.000,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Karate Kid,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,Movies
Recreation,Hellenic Society,2019-09-08T19:45:00.000,Queens,Park,Rainey Park,My Big Fat Greek Wedding,Community Based Event,Mobile Unit,75.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-08T00:00:00.000,Manhattan,Park,Randall's Island Park,Creed II(2018),Community Based Event,Mobile Unit,126.0,General Public,Sharepoint,M.U.T.S
Recreation,Forest Park and Highland Park Admin,2019-09-13T19:30:00.000,Queens,Park,Forest Park,Caddyshack,Community Based Event,Mobile Unit,30.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,CM Barry Grodenchik,2019-09-20T10:00:00.000,Queens,Park,Alley Pond Park,Senior Nature Walk,Community Based Event,Nature,37.0,Seniors,Sharepoint,Fitness
Urban Park Rangers,Freshkills Alliance,2019-09-21T12:30:00.000,Staten Island,Park,Freshkills Park,Freshkills Kayak Tour,Agency Produced Event,Nature,22.0,Adults,Sharepoint,
Recreation,Carl's Butterflies,2019-09-21T11:00:00.000,Queens,Park,Rufus King Park,Back to School Event,Community Based Event,Mobile Unit,56.0,General Public,Sharepoint,Play
Urban Park Rangers,Van Cortlandt House Museum,2019-09-21T11:00:00.000,Bronx,Park,Van Cortlandt Park,Van Cortlandt House Museum Second Annual History and Culture Fair,Local Event,Arts/Culture,30.0,General Public,Sharepoint,
Recreation,,2018-06-30T20:00:00.000,Brooklyn,Park,Scarangella Park,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,500.0,General Public,Sharepoint,Movies
Recreation,,2019-09-21T19:30:00.000,Bronx,Park,Ferry Point Park,Creed ll,Community Based Event,Mobile Unit,20.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,,2019-09-20T19:30:00.000,Bronx,Park,Vidalia Park,Aladdin,Community Based Event,Mobile Unit,200.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-08T12:00:00.000,Bronx,Park,Ferry Point Park,Basketball Tournament,Community Based Event,Mobile Unit,100.0,Tot;#Children;#Teens,Sharepoint,Play
Recreation,,2019-09-21T19:15:00.000,Brooklyn,Park,Commodore Barry Park,Aladdin (2019),Community Based Event,Mobile Unit,32.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-11T12:00:00.000,Bronx,Park,P.O. Serrano  Park,Community Engagement,Agency Produced Event,Mobile Unit,25.0,Tot;#Young Adult;#Teens,Sharepoint,Play
Recreation,,2018-07-06T20:00:00.000,Brooklyn,Park,Herbert Von King Park,Movies Under the Stars : Marshall,Community Based Event,Mobile Unit,180.0,General Public,Sharepoint,Movies
Recreation,,2019-07-30T20:45:00.000,Brooklyn,Park,Saratoga Park,If Beale Street Could Talk (2018),Community Based Event,Mobile Unit,55.0,General Public,Sharepoint,M.U.T.S
Recreation,Councilman TREYGER,2019-07-13T20:30:00.000,Brooklyn,Park,Scarangella Park,Spiderman: Into the Spider Verse (2018),Community Based Event,Mobile Unit,135.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-20T19:15:00.000,Queens,Park,Brookville Park,Avengers End Game,Community Based Event,Mobile Unit,30.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-20T19:00:00.000,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars: Creed II,Community Based Event,Mobile Unit,82.0,General Public,Sharepoint,M.U.T.S
Recreation,Council Member Kallos,2019-09-21T19:00:00.000,Manhattan,Park,Carl Schurz Park,Movies Under the Stars: Avengers: Endgame,Community Based Event,Mobile Unit,389.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-17T19:00:00.000,Manhattan,Park,Seward Park,Movies Under the Stars: Kubo and the Two Strings,Community Based Event,Mobile Unit,72.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-06-29T20:00:00.000,Brooklyn,Park,McKinley Park,Movies Under the Stars : E.T.,Community Based Event,Mobile Unit,400.0,General Public,Sharepoint,Movies
Recreation,,2019-09-21T14:00:00.000,Manhattan,Park,Marcus Garvey Park,Mothership One,Local Event,Arts/Culture,1100.0,General Public,Sharepoint,Dance
Recreation,Image Nation,2019-09-20T19:00:00.000,Manhattan,Park,St. Nicholas Park,Movies Under the Stars: Grace Jones Documentary,Community Based Event,Mobile Unit,189.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-28T19:05:00.000,Brooklyn,Park,Herbert Von King Park,Avengers: Endgame (2019),Community Based Event,Mobile Unit,76.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,Wyckoff House Museum,2019-09-29T13:00:00.000,Brooklyn,Park,Fidler-Wyckoff House Park,Breukelen Country Fair,Community Based Event,Family Festival,400.0,Children;#Tot;#General Public,Sharepoint,
Recreation,,2018-07-02T20:00:00.000,Brooklyn,Park,Cadman Plaza Park,Movies Under the Stars : Dunkirk,Community Based Event,Mobile Unit,90.0,General Public,Sharepoint,Movies
Recreation,,2019-09-29T19:00:00.000,Brooklyn,Park,Pena Herrera Park,The LEGO Movie 2 (2019),Community Based Event,Mobile Unit,-42.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-27T19:30:00.000,Brooklyn,Park,Maria Hernandez Park,Love in the Time of Cholera (2007),Community Based Event,Mobile Unit,63.0,General Public,Sharepoint,M.U.T.S
Urban Park Rangers,Pelham Bay Park Special Events,2019-09-29T12:00:00.000,Bronx,Park,Pelham Bay Park,The Bronx Native American Festival,Community Based Event,Arts/Culture,105.0,General Public,Sharepoint,
Recreation,,2019-09-27T19:30:00.000,Bronx,Park,Concrete Plant Park,Space Jam,Community Based Event,Mobile Unit,50.0,General Public,Sharepoint,M.U.T.S
Recreation,,2018-07-07T21:00:00.000,Brooklyn,Park,Sunset Park,Movies Under the Stars : Pacific Rim,Community Based Event,Mobile Unit,500.0,General Public,Sharepoint,Movies
Recreation,,2019-09-28T19:00:00.000,Bronx,Park,Joyce Kilmer Park,Night School,Community Based Event,Mobile Unit,80.0,Young Adult;#Adults;#Teens;#Adaptive;#Seniors,Sharepoint,M.U.T.S
Recreation,,2019-09-19T19:00:00.000,Brooklyn,Park,Dyker Beach Park,Bill & Ted's Bogus Journey (1985),Community Based Event,Mobile Unit,64.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-27T19:00:00.000,Brooklyn,Park,Sunset Park,Despicable Me 2 (2013),Community Based Event,Mobile Unit,145.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-28T19:00:00.000,Brooklyn,Park,Lt. Joseph Petrosino Park,The Emoji Movie (2017),Community Based Event,Mobile Unit,301.0,General Public,Sharepoint,M.U.T.S
Recreation,,2019-09-03T19:15:00.000,Brooklyn,Park,Sunset Park,Pokemon Detective Pikachu (2019),Community Based Event,Mobile Unit,155.0,General Public,Sharepoint,M.U.T.S
Recreation,Brooklyn Play Mobile,2019-09-27T12:00:00.000,Brooklyn,Park,John Paul Jones Park,Senior Art Show,Agency Produced Event,Mobile Unit,30.0,Seniors;#General Public,Sharepoint,Play
